id,sign,type,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index
1,1,line,0.4,0.2,quad,data/P1/quad/line/S0.2m0.4.png,,0.45,,,0
1,1,line,0.8,0.2,trig,data/P1/trig/line/S0.2m0.8.png,,0.97,,,1
1,-1,line,0.4,0.2,line,data/P1/line/line/S0.2m-0.4.png,,-0.51,,,2
1,-1,line,0.2,0.2,quad,data/P1/quad/line/S0.2m-0.2.png,,-0.08,,,3
1,-1,line,0.8,0.2,line,data/P1/line/line/S0.2m-0.8.png,,-0.78,,,4
1,1,line,0.1,0.2,trig,data/P1/trig/line/S0.2m0.1.png,,0.46,,,5
1,1,line,0.2,0.2,line,data/P1/line/line/S0.2m0.2.png,,0.3,,,6
1,-1,line,0.1,0.2,trig,data/P1/trig/line/S0.2m-0.1.png,,-0.23,,,7
1,1,line,0.4,0.05,quad,data/P1/quad/line/S0.05m0.4.png,,0.39,,,8
1,1,line,0.8,0.05,line,data/P1/line/line/S0.05m0.8.png,,0.83,,,9
1,-1,line,0.4,0.05,trig,data/P1/trig/line/S0.05m-0.4.png,,-0.39,,,10
1,-1,line,0.2,0.05,trig,data/P1/trig/line/S0.05m-0.2.png,,-0.19,,,11
1,1,linetrend,0.2,0.05,trig,data/P1/trig/linetrend/S0.05m0.2.png,1,0.2,,,12
1,-1,line,0.8,0.05,quad,data/P1/quad/line/S0.05m-0.8.png,,-0.84,,,13
1,1,line,0.1,0.05,line,data/P1/line/line/S0.05m0.1.png,,0.1,,,14
1,1,line,0.2,0.05,line,data/P1/line/line/S0.05m0.2.png,,0.23,,,15
1,-1,line,0.1,0.05,line,data/P1/line/line/S0.05m-0.1.png,,-0.09,,,16
1,1,line,0.4,0.15,quad,data/P1/quad/line/S0.15m0.4.png,,0.53,,,17
1,1,line,0.8,0.15,trig,data/P1/trig/line/S0.15m0.8.png,,0.88,,,18
1,-1,line,0.4,0.15,trig,data/P1/trig/line/S0.15m-0.4.png,,-0.56,,,19
1,-1,line,0.2,0.15,quad,data/P1/quad/line/S0.15m-0.2.png,,-0.31,,,20
1,-1,line,0.8,0.15,trig,data/P1/trig/line/S0.15m-0.8.png,,-0.93,,,21
1,1,line,0.1,0.15,quad,data/P1/quad/line/S0.15m0.1.png,,0.2,,,22
1,1,line,0.2,0.15,line,data/P1/line/line/S0.15m0.2.png,,0.36,,,23
1,-1,line,0.1,0.15,quad,data/P1/quad/line/S0.15m-0.1.png,,-0.13,,,24
1,1,line,0.4,0.1,trig,data/P1/trig/line/S0.1m0.4.png,,0.49,,,25
1,1,line,0.8,0.1,quad,data/P1/quad/line/S0.1m0.8.png,,0.82,,,26
1,-1,line,0.4,0.1,line,data/P1/line/line/S0.1m-0.4.png,,-0.42,,,27
1,-1,line,0.2,0.1,line,data/P1/line/line/S0.1m-0.2.png,,-0.23,,,28
1,-1,line,0.8,0.1,quad,data/P1/quad/line/S0.1m-0.8.png,,-0.85,,,29
1,1,line,0.1,0.1,quad,data/P1/quad/line/S0.1m0.1.png,,0.14,,,30
1,1,line,0.2,0.1,trig,data/P1/trig/line/S0.1m0.2.png,,0.32,,,31
1,-1,line,0.1,0.1,line,data/P1/line/line/S0.1m-0.1.png,,-0.07,,,32
1,1,scatter,0.4,0.2,line,data/P1/line/scatter/S0.2m0.4.png,,0.89,,,33
