id,error,age,gender,nationality,degree,faculty,graphsuse
1,-0.0287,21,F,CH,BA,PF,1
2,-0.0121,20,F,CH,BA,PF,1
3,-0.0189,22,F,CH,MA,IFI,1
4,-0.0071,28,M,CH,BA,IFI,0
5,-0.0144,26,M,CH,MA,IFI,1
6,-0.0011,24,M,CH,MA,IFI,1
7,-0.0193,40,F,SG,PhD,PF,1
8,-0.0093,23,M,CH,BA,IFI,0
9,-0.0043,23,M,CH,BA,IFI,0
10,0.0073,23,M,CH,BA,IFI,1
11,0.0103,22,F,CH,BA,PF,0
12,-0.0018,23,F,CH,BA,PF,1
13,-0.0123,20,F,CH,BA,PF,1
14,-0.0056,24,M,US,MA,IFI,1
15,0.0046,29,F,CH,BA,PF,0
16,-0.0231,26,M,DE,MA,IFI,1
