id,type,sign,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index,m,pId
1,line,1,0.40,0.2,quad,data/P1/quad/line/S0.2m0.4.png,,,,,0,0.4,P1
1,line,1,0.80,0.2,trig,data/P1/trig/line/S0.2m0.8.png,,,,,1,0.8,P1
1,line,-1,0.40,0.2,line,data/P1/line/line/S0.2m-0.4.png,,,,,2,-0.4,P1
1,line,-1,0.20,0.2,quad,data/P1/quad/line/S0.2m-0.2.png,,,,,3,-0.2,P1
1,line,-1,0.80,0.2,line,data/P1/line/line/S0.2m-0.8.png,,,,,4,-0.8,P1
1,line,1,0.10,0.2,trig,data/P1/trig/line/S0.2m0.1.png,,,,,5,0.1,P1
1,line,1,0.20,0.2,line,data/P1/line/line/S0.2m0.2.png,,,,,6,0.2,P1
1,line,-1,0.10,0.2,trig,data/P1/trig/line/S0.2m-0.1.png,,,,,7,-0.1,P1
1,line,1,0.40,0.05,quad,data/P1/quad/line/S0.05m0.4.png,,,,,8,0.4,P1
1,line,1,0.80,0.05,line,data/P1/line/line/S0.05m0.8.png,,,,,9,0.8,P1
1,line,-1,0.40,0.05,trig,data/P1/trig/line/S0.05m-0.4.png,,,,,10,-0.4,P1
1,line,-1,0.20,0.05,trig,data/P1/trig/line/S0.05m-0.2.png,,,,,11,-0.2,P1
1,linetrend,1,0.20,0.2,trig,data/P1/trig/linetrend/S0.2m0.2.png,1,,,,12,0.2,P1
1,line,-1,0.80,0.05,quad,data/P1/quad/line/S0.05m-0.8.png,,,,,13,-0.8,P1
1,line,1,0.10,0.05,line,data/P1/line/line/S0.05m0.1.png,,,,,14,0.1,P1
1,line,1,0.20,0.05,line,data/P1/line/line/S0.05m0.2.png,,,,,15,0.2,P1
1,line,-1,0.10,0.05,line,data/P1/line/line/S0.05m-0.1.png,,,,,16,-0.1,P1
1,line,1,0.40,0.15,quad,data/P1/quad/line/S0.15m0.4.png,,,,,17,0.4,P1
1,line,1,0.80,0.15,trig,data/P1/trig/line/S0.15m0.8.png,,,,,18,0.8,P1
1,line,-1,0.40,0.15,trig,data/P1/trig/line/S0.15m-0.4.png,,,,,19,-0.4,P1
1,line,-1,0.20,0.15,quad,data/P1/quad/line/S0.15m-0.2.png,,,,,20,-0.2,P1
