id,type,sign,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index,
1,line,1,0.40,0.2,quad,data/P1/quad/line/S0.2m0.4.png,,,,,0,
1,line,1,0.80,0.2,trig,data/P1/trig/line/S0.2m0.8.png,,,,,1,
1,line,-1,0.40,0.2,line,data/P1/line/line/S0.2m-0.4.png,,,,,2,
1,line,-1,0.20,0.2,quad,data/P1/quad/line/S0.2m-0.2.png,,,,,3,
1,line,-1,0.80,0.2,line,data/P1/line/line/S0.2m-0.8.png,,,,,4,
1,line,1,0.10,0.2,trig,data/P1/trig/line/S0.2m0.1.png,,,,,5,
1,line,1,0.20,0.2,line,data/P1/line/line/S0.2m0.2.png,,,,,6,
1,line,-1,0.10,0.2,trig,data/P1/trig/line/S0.2m-0.1.png,,,,,7,
1,line,1,0.40,0.05,quad,data/P1/quad/line/S0.05m0.4.png,,,,,8,
1,line,1,0.80,0.05,line,data/P1/line/line/S0.05m0.8.png,,,,,9,
1,line,-1,0.40,0.05,trig,data/P1/trig/line/S0.05m-0.4.png,,,,,10,
1,line,-1,0.20,0.05,trig,data/P1/trig/line/S0.05m-0.2.png,,,,,11,
1,linetrend,1,0.20,0.05,trig,data/P1/trig/linetrend/S0.05m0.2.png,1,,,,12,
1,line,-1,0.80,0.05,quad,data/P1/quad/line/S0.05m-0.8.png,,,,,13,
1,line,1,0.10,0.05,line,data/P1/line/line/S0.05m0.1.png,,,,,14,
1,line,1,0.20,0.05,line,data/P1/line/line/S0.05m0.2.png,,,,,15,
1,line,-1,0.10,0.05,line,data/P1/line/line/S0.05m-0.1.png,,,,,16,
1,line,1,0.40,0.15,quad,data/P1/quad/line/S0.15m0.4.png,,,,,17,
1,line,1,0.80,0.15,trig,data/P1/trig/line/S0.15m0.8.png,,,,,18,
1,line,-1,0.40,0.15,trig,data/P1/trig/line/S0.15m-0.4.png,,,,,19,
1,line,-1,0.20,0.15,quad,data/P1/quad/line/S0.15m-0.2.png,,,,,20,
1,line,-1,0.80,0.15,trig,data/P1/trig/line/S0.15m-0.8.png,,,,,21,
1,line,1,0.10,0.15,quad,data/P1/quad/line/S0.15m0.1.png,,,,,22,
1,line,1,0.20,0.15,line,data/P1/line/line/S0.15m0.2.png,,,,,23,
1,line,-1,0.10,0.15,quad,data/P1/quad/line/S0.15m-0.1.png,,,,,24,
1,line,1,0.40,0.1,trig,data/P1/trig/line/S0.1m0.4.png,,,,,25,
1,line,1,0.80,0.1,quad,data/P1/quad/line/S0.1m0.8.png,,,,,26,
1,line,-1,0.40,0.1,line,data/P1/line/line/S0.1m-0.4.png,,,,,27,
1,line,-1,0.20,0.1,line,data/P1/line/line/S0.1m-0.2.png,,,,,28,
1,line,-1,0.80,0.1,quad,data/P1/quad/line/S0.1m-0.8.png,,,,,29,
1,line,1,0.10,0.1,quad,data/P1/quad/line/S0.1m0.1.png,,,,,30,
1,line,1,0.20,0.1,trig,data/P1/trig/line/S0.1m0.2.png,,,,,31,
1,line,-1,0.10,0.1,line,data/P1/line/line/S0.1m-0.1.png,,,,,32,
1,scatter,1,0.40,0.2,line,data/P1/line/scatter/S0.2m0.4.png,,,,,33,
1,scatter,1,0.80,0.2,line,data/P1/line/scatter/S0.2m0.8.png,,,,,34,
1,scatter,-1,0.40,0.2,quad,data/P1/quad/scatter/S0.2m-0.4.png,,,,,35,
1,scatter,-1,0.20,0.2,trig,data/P1/trig/scatter/S0.2m-0.2.png,,,,,36,
1,scatter,-1,0.80,0.2,trig,data/P1/trig/scatter/S0.2m-0.8.png,,,,,37,
1,scatter,1,0.10,0.2,trig,data/P1/trig/scatter/S0.2m0.1.png,,,,,38,
1,scatter,1,0.20,0.2,quad,data/P1/quad/scatter/S0.2m0.2.png,,,,,39,
1,scatter,-1,0.10,0.2,trig,data/P1/trig/scatter/S0.2m-0.1.png,,,,,40,
1,scatter,1,0.40,0.05,line,data/P1/line/scatter/S0.05m0.4.png,,,,,41,
1,scatter,1,0.80,0.05,trig,data/P1/trig/scatter/S0.05m0.8.png,,,,,42,
1,scatter,-1,0.40,0.05,quad,data/P1/quad/scatter/S0.05m-0.4.png,,,,,43,
1,scatter,-1,0.20,0.05,quad,data/P1/quad/scatter/S0.05m-0.2.png,,,,,44,
1,scatter,-1,0.80,0.05,trig,data/P1/trig/scatter/S0.05m-0.8.png,,,,,45,
1,scatter,1,0.10,0.05,quad,data/P1/quad/scatter/S0.05m0.1.png,,,,,46,
1,scatter,1,0.20,0.05,line,data/P1/line/scatter/S0.05m0.2.png,,,,,47,
1,scatter,-1,0.10,0.05,quad,data/P1/quad/scatter/S0.05m-0.1.png,,,,,48,
1,scatter,1,0.40,0.15,line,data/P1/line/scatter/S0.15m0.4.png,,,,,49,
1,scatter,1,0.80,0.15,quad,data/P1/quad/scatter/S0.15m0.8.png,,,,,50,
1,scatter,-1,0.40,0.15,trig,data/P1/trig/scatter/S0.15m-0.4.png,,,,,51,
1,scatter,-1,0.20,0.15,line,data/P1/line/scatter/S0.15m-0.2.png,,,,,52,
1,scatter,-1,0.80,0.15,trig,data/P1/trig/scatter/S0.15m-0.8.png,,,,,53,
1,scatter,1,0.10,0.15,trig,data/P1/trig/scatter/S0.15m0.1.png,,,,,54,
1,scatter,1,0.20,0.15,trig,data/P1/trig/scatter/S0.15m0.2.png,,,,,55,
1,scatter,-1,0.10,0.15,trig,data/P1/trig/scatter/S0.15m-0.1.png,,,,,56,
1,scattertrend,1,0.10,0.15,line,data/P1/line/scattertrend/S0.15m0.1.png,1,,,,57,
1,scatter,1,0.40,0.1,quad,data/P1/quad/scatter/S0.1m0.4.png,,,,,58,
1,scatter,1,0.80,0.1,line,data/P1/line/scatter/S0.1m0.8.png,,,,,59,
1,scatter,-1,0.40,0.1,line,data/P1/line/scatter/S0.1m-0.4.png,,,,,60,
1,scatter,-1,0.20,0.1,quad,data/P1/quad/scatter/S0.1m-0.2.png,,,,,61,
1,scatter,-1,0.80,0.1,trig,data/P1/trig/scatter/S0.1m-0.8.png,,,,,62,
1,scatter,1,0.10,0.1,trig,data/P1/trig/scatter/S0.1m0.1.png,,,,,63,
1,scatter,1,0.20,0.1,trig,data/P1/trig/scatter/S0.1m0.2.png,,,,,64,
1,scattertrend,1,0.20,0.1,quad,data/P1/quad/scattertrend/S0.1m0.2.png,1,,,,65,
1,scatter,-1,0.10,0.1,quad,data/P1/quad/scatter/S0.1m-0.1.png,,,,,66,
1,area,1,0.40,0.2,quad,data/P1/quad/area/S0.2m0.4.png,,,,,67,
1,area,1,0.80,0.2,line,data/P1/line/area/S0.2m0.8.png,,,,,68,
1,area,-1,0.40,0.2,line,data/P1/line/area/S0.2m-0.4.png,,,,,69,
1,area,-1,0.20,0.2,trig,data/P1/trig/area/S0.2m-0.2.png,,,,,70,
1,area,-1,0.80,0.2,quad,data/P1/quad/area/S0.2m-0.8.png,,,,,71,
1,area,1,0.10,0.2,quad,data/P1/quad/area/S0.2m0.1.png,,,,,72,
1,area,1,0.20,0.2,quad,data/P1/quad/area/S0.2m0.2.png,,,,,73,
1,area,-1,0.10,0.2,quad,data/P1/quad/area/S0.2m-0.1.png,,,,,74,
1,area,1,0.40,0.05,quad,data/P1/quad/area/S0.05m0.4.png,,,,,75,
1,area,1,0.80,0.05,quad,data/P1/quad/area/S0.05m0.8.png,,,,,76,
1,area,-1,0.40,0.05,quad,data/P1/quad/area/S0.05m-0.4.png,,,,,77,
1,area,-1,0.20,0.05,quad,data/P1/quad/area/S0.05m-0.2.png,,,,,78,
1,area,-1,0.80,0.05,trig,data/P1/trig/area/S0.05m-0.8.png,,,,,79,
1,area,1,0.10,0.05,trig,data/P1/trig/area/S0.05m0.1.png,,,,,80,
1,area,1,0.20,0.05,quad,data/P1/quad/area/S0.05m0.2.png,,,,,81,
1,area,-1,0.10,0.05,trig,data/P1/trig/area/S0.05m-0.1.png,,,,,82,
1,area,1,0.40,0.15,line,data/P1/line/area/S0.15m0.4.png,,,,,83,
1,area,1,0.80,0.15,line,data/P1/line/area/S0.15m0.8.png,,,,,84,
1,area,-1,0.40,0.15,line,data/P1/line/area/S0.15m-0.4.png,,,,,85,
1,area,-1,0.20,0.15,line,data/P1/line/area/S0.15m-0.2.png,,,,,86,
1,area,-1,0.80,0.15,line,data/P1/line/area/S0.15m-0.8.png,,,,,87,
1,area,1,0.10,0.15,line,data/P1/line/area/S0.15m0.1.png,,,,,88,
1,area,1,0.20,0.15,trig,data/P1/trig/area/S0.15m0.2.png,,,,,89,
1,area,-1,0.10,0.15,quad,data/P1/quad/area/S0.15m-0.1.png,,,,,90,
1,area,1,0.40,0.1,trig,data/P1/trig/area/S0.1m0.4.png,,,,,91,
1,areatrend,1,0.20,0.1,line,data/P1/line/areatrend/S0.1m0.2.png,1,,,,92,
1,area,1,0.80,0.1,line,data/P1/line/area/S0.1m0.8.png,,,,,93,
1,area,-1,0.40,0.1,line,data/P1/line/area/S0.1m-0.4.png,,,,,94,
1,area,-1,0.20,0.1,trig,data/P1/trig/area/S0.1m-0.2.png,,,,,95,
1,area,-1,0.80,0.1,line,data/P1/line/area/S0.1m-0.8.png,,,,,96,
1,area,1,0.10,0.1,line,data/P1/line/area/S0.1m0.1.png,,,,,97,
1,area,1,0.20,0.1,line,data/P1/line/area/S0.1m0.2.png,,,,,98,
1,area,-1,0.10,0.1,trig,data/P1/trig/area/S0.1m-0.1.png,,,,,99,
