id,sign,type,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index,
2,1,line,0.8,0.05,trig,data/P2/trig/line/S0.05m0.8.png,,,,,0,
2,-1,line,0.1,0.05,line,data/P2/line/line/S0.05m-0.1.png,,,,,1,
2,-1,line,0.8,0.05,trig,data/P2/trig/line/S0.05m-0.8.png,,,,,2,
2,-1,line,0.4,0.05,trig,data/P2/trig/line/S0.05m-0.4.png,,,,,3,
2,1,line,0.1,0.05,line,data/P2/line/line/S0.05m0.1.png,,,,,4,
2,1,line,0.2,0.05,quad,data/P2/quad/line/S0.05m0.2.png,,,,,5,
2,1,line,0.4,0.05,trig,data/P2/trig/line/S0.05m0.4.png,,,,,6,
2,-1,line,0.2,0.05,trig,data/P2/trig/line/S0.05m-0.2.png,,,,,7,
2,1,line,0.8,0.1,trig,data/P2/trig/line/S0.1m0.8.png,,,,,8,
2,-1,line,0.1,0.1,line,data/P2/line/line/S0.1m-0.1.png,,,,,9,
2,-1,line,0.8,0.1,line,data/P2/line/line/S0.1m-0.8.png,,,,,10,
2,-1,line,0.4,0.1,quad,data/P2/quad/line/S0.1m-0.4.png,,,,,11,
2,1,line,0.1,0.1,line,data/P2/line/line/S0.1m0.1.png,,,,,12,
2,1,linetrend,0.8,0.1,line,data/P2/line/linetrend/S0.1m0.8.png,1,,,,13,
2,1,line,0.2,0.1,trig,data/P2/trig/line/S0.1m0.2.png,,,,,14,
2,1,line,0.4,0.1,line,data/P2/line/line/S0.1m0.4.png,,,,,15,
2,-1,line,0.2,0.1,line,data/P2/line/line/S0.1m-0.2.png,,,,,16,
2,1,line,0.8,0.2,quad,data/P2/quad/line/S0.2m0.8.png,,,,,17,
2,-1,line,0.1,0.2,quad,data/P2/quad/line/S0.2m-0.1.png,,,,,18,
2,-1,line,0.8,0.2,trig,data/P2/trig/line/S0.2m-0.8.png,,,,,19,
2,-1,line,0.4,0.2,trig,data/P2/trig/line/S0.2m-0.4.png,,,,,20,
2,1,line,0.1,0.2,quad,data/P2/quad/line/S0.2m0.1.png,,,,,21,
2,1,line,0.2,0.2,quad,data/P2/quad/line/S0.2m0.2.png,,,,,22,
2,1,line,0.4,0.2,trig,data/P2/trig/line/S0.2m0.4.png,,,,,23,
2,-1,line,0.2,0.2,trig,data/P2/trig/line/S0.2m-0.2.png,,,,,24,
2,1,line,0.8,0.15,line,data/P2/line/line/S0.15m0.8.png,,,,,25,
2,-1,line,0.1,0.15,quad,data/P2/quad/line/S0.15m-0.1.png,,,,,26,
2,-1,line,0.8,0.15,line,data/P2/line/line/S0.15m-0.8.png,,,,,27,
2,-1,line,0.4,0.15,line,data/P2/line/line/S0.15m-0.4.png,,,,,28,
2,1,line,0.1,0.15,quad,data/P2/quad/line/S0.15m0.1.png,,,,,29,
2,1,line,0.2,0.15,trig,data/P2/trig/line/S0.15m0.2.png,,,,,30,
2,1,line,0.4,0.15,quad,data/P2/quad/line/S0.15m0.4.png,,,,,31,
2,-1,line,0.2,0.15,line,data/P2/line/line/S0.15m-0.2.png,,,,,32,
2,1,scatter,0.8,0.05,line,data/P2/line/scatter/S0.05m0.8.png,,,,,33,
2,-1,scatter,0.1,0.05,quad,data/P2/quad/scatter/S0.05m-0.1.png,,,,,34,
2,-1,scatter,0.8,0.05,quad,data/P2/quad/scatter/S0.05m-0.8.png,,,,,35,
2,-1,scatter,0.4,0.05,quad,data/P2/quad/scatter/S0.05m-0.4.png,,,,,36,
2,1,scatter,0.1,0.05,trig,data/P2/trig/scatter/S0.05m0.1.png,,,,,37,
2,1,scatter,0.2,0.05,trig,data/P2/trig/scatter/S0.05m0.2.png,,,,,38,
2,1,scatter,0.4,0.05,quad,data/P2/quad/scatter/S0.05m0.4.png,,,,,39,
2,-1,scatter,0.2,0.05,quad,data/P2/quad/scatter/S0.05m-0.2.png,,,,,40,
2,1,scatter,0.8,0.1,trig,data/P2/trig/scatter/S0.1m0.8.png,,,,,41,
2,-1,scatter,0.1,0.1,trig,data/P2/trig/scatter/S0.1m-0.1.png,,,,,42,
2,-1,scatter,0.8,0.1,trig,data/P2/trig/scatter/S0.1m-0.8.png,,,,,43,
2,-1,scatter,0.4,0.1,line,data/P2/line/scatter/S0.1m-0.4.png,,,,,44,
2,1,scatter,0.1,0.1,quad,data/P2/quad/scatter/S0.1m0.1.png,,,,,45,
2,1,scattertrend,0.2,0.1,trig,data/P2/trig/scattertrend/S0.1m0.2.png,1,,,,46,
2,1,scatter,0.2,0.1,line,data/P2/line/scatter/S0.1m0.2.png,,,,,47,
2,1,scatter,0.4,0.1,quad,data/P2/quad/scatter/S0.1m0.4.png,,,,,48,
2,-1,scatter,0.2,0.1,quad,data/P2/quad/scatter/S0.1m-0.2.png,,,,,49,
2,1,scatter,0.8,0.2,line,data/P2/line/scatter/S0.2m0.8.png,,,,,50,
2,-1,scatter,0.1,0.2,quad,data/P2/quad/scatter/S0.2m-0.1.png,,,,,51,
2,-1,scatter,0.8,0.2,trig,data/P2/trig/scatter/S0.2m-0.8.png,,,,,52,
2,-1,scatter,0.4,0.2,trig,data/P2/trig/scatter/S0.2m-0.4.png,,,,,53,
2,1,scatter,0.1,0.2,quad,data/P2/quad/scatter/S0.2m0.1.png,,,,,54,
2,1,scatter,0.2,0.2,quad,data/P2/quad/scatter/S0.2m0.2.png,,,,,55,
2,1,scatter,0.4,0.2,quad,data/P2/quad/scatter/S0.2m0.4.png,,,,,56,
2,-1,scatter,0.2,0.2,quad,data/P2/quad/scatter/S0.2m-0.2.png,,,,,57,
2,1,scatter,0.8,0.15,quad,data/P2/quad/scatter/S0.15m0.8.png,,,,,58,
2,-1,scatter,0.1,0.15,trig,data/P2/trig/scatter/S0.15m-0.1.png,,,,,59,
2,-1,scatter,0.8,0.15,quad,data/P2/quad/scatter/S0.15m-0.8.png,,,,,60,
2,-1,scatter,0.4,0.15,quad,data/P2/quad/scatter/S0.15m-0.4.png,,,,,61,
2,1,scatter,0.1,0.15,trig,data/P2/trig/scatter/S0.15m0.1.png,,,,,62,
2,1,scatter,0.2,0.15,quad,data/P2/quad/scatter/S0.15m0.2.png,,,,,63,
2,1,scatter,0.4,0.15,trig,data/P2/trig/scatter/S0.15m0.4.png,,,,,64,
2,-1,scatter,0.2,0.15,trig,data/P2/trig/scatter/S0.15m-0.2.png,,,,,65,
2,1,area,0.8,0.05,line,data/P2/line/area/S0.05m0.8.png,,,,,66,
2,-1,area,0.1,0.05,line,data/P2/line/area/S0.05m-0.1.png,,,,,67,
2,-1,area,0.8,0.05,quad,data/P2/quad/area/S0.05m-0.8.png,,,,,68,
2,-1,area,0.4,0.05,line,data/P2/line/area/S0.05m-0.4.png,,,,,69,
2,1,area,0.1,0.05,quad,data/P2/quad/area/S0.05m0.1.png,,,,,70,
2,1,area,0.2,0.05,line,data/P2/line/area/S0.05m0.2.png,,,,,71,
2,1,area,0.4,0.05,trig,data/P2/trig/area/S0.05m0.4.png,,,,,72,
2,-1,area,0.2,0.05,trig,data/P2/trig/area/S0.05m-0.2.png,,,,,73,
2,1,area,0.8,0.1,line,data/P2/line/area/S0.1m0.8.png,,,,,74,
2,-1,area,0.1,0.1,line,data/P2/line/area/S0.1m-0.1.png,,,,,75,
2,-1,area,0.8,0.1,line,data/P2/line/area/S0.1m-0.8.png,,,,,76,
2,-1,area,0.4,0.1,quad,data/P2/quad/area/S0.1m-0.4.png,,,,,77,
2,1,area,0.1,0.1,quad,data/P2/quad/area/S0.1m0.1.png,,,,,78,
2,1,area,0.2,0.1,line,data/P2/line/area/S0.1m0.2.png,,,,,79,
2,1,area,0.4,0.1,line,data/P2/line/area/S0.1m0.4.png,,,,,80,
2,-1,area,0.2,0.1,line,data/P2/line/area/S0.1m-0.2.png,,,,,81,
2,1,area,0.8,0.2,trig,data/P2/trig/area/S0.2m0.8.png,,,,,82,
2,-1,area,0.1,0.2,line,data/P2/line/area/S0.2m-0.1.png,,,,,83,
2,-1,area,0.8,0.2,trig,data/P2/trig/area/S0.2m-0.8.png,,,,,84,
2,-1,areatrend,0.4,0.2,line,data/P2/line/areatrend/S0.2m-0.4.png,1,,,,85,
2,-1,area,0.4,0.2,trig,data/P2/trig/area/S0.2m-0.4.png,,,,,86,
2,1,area,0.1,0.2,line,data/P2/line/area/S0.2m0.1.png,,,,,87,
2,1,area,0.2,0.2,trig,data/P2/trig/area/S0.2m0.2.png,,,,,88,
2,1,area,0.4,0.2,line,data/P2/line/area/S0.2m0.4.png,,,,,89,
2,-1,area,0.2,0.2,line,data/P2/line/area/S0.2m-0.2.png,,,,,90,
2,1,area,0.8,0.15,line,data/P2/line/area/S0.15m0.8.png,,,,,91,
2,-1,area,0.1,0.15,line,data/P2/line/area/S0.15m-0.1.png,,,,,92,
2,-1,area,0.8,0.15,trig,data/P2/trig/area/S0.15m-0.8.png,,,,,93,
2,-1,area,0.4,0.15,trig,data/P2/trig/area/S0.15m-0.4.png,,,,,94,
2,1,area,0.1,0.15,quad,data/P2/quad/area/S0.15m0.1.png,,,,,95,
2,1,area,0.2,0.15,line,data/P2/line/area/S0.15m0.2.png,,,,,96,
2,1,area,0.4,0.15,quad,data/P2/quad/area/S0.15m0.4.png,,,,,97,
2,-1,areatrend,0.4,0.15,line,data/P2/line/areatrend/S0.15m-0.4.png,1,,,,98,
2,-1,area,0.2,0.15,trig,data/P2/trig/area/S0.15m-0.2.png,,,,,99,
